Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Norway,NOR,8.7,4.9,2.8,2.7,2.6,2.5,2.4,2.4,2.3,2.2,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Oman,OMN,39,16.3,11.3,11.2,11.1,11,10.8,10.6,10.4,10.1,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Pakistan,PAK,139.8,108.1,78.4,76.2,73.9,71.8,69.6,67.5,65.5,63.3,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Palau,PLW,35.3,28.5,20.4,19.7,19.1,18.5,17.9,17.4,16.8,16.2,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Panama,PAN,31.4,26,17.5,16.9,16.4,15.9,15.4,14.8,14.4,13.9,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Papua New Guinea,PNG,84.9,71.1,52.5,51.1,49.7,48.3,46.9,45.5,44.2,42.8,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Paraguay,PRY,45.6,33.8,22.9,22.2,21.4,20.8,20,19.4,18.7,18.2,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Peru,PER,80.2,38.1,17.1,16.5,16.1,15.7,15.3,14.9,14.5,14.1,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Philippines,PHL,56.6,37.7,30.2,29.8,29.3,28.7,28,27.3,26.5,25.7,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Poland,POL,17.4,9.3,5,4.9,4.8,4.7,4.5,4.4,4.4,4.3,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Portugal,PRT,14.7,7.2,3.6,3.7,3.7,3.6,3.6,3.4,3.3,3.1,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Qatar,QAT,20.8,12.5,8.1,7.8,7.4,6.9,6.5,6.1,5.7,5.3,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Romania,ROU,31.1,21.5,9.9,9.2,8.5,7.9,7.4,7,6.7,6.4,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Russian Federation,RUS,21.6,19.4,8.9,8.2,7.5,6.9,6.3,5.8,5.4,5.1,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Rwanda,RWA,149.9,185.4,49.8,47.7,46.1,44.6,43.4,42.1,40.7,39.4,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Samoa,WSM,29.8,21.3,18.8,18.6,18.4,18.2,17.9,17.5,17.1,16.7,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,San Marino,SMR,13.9,5.6,2.3,2.2,2.1,2,1.9,1.9,1.8,1.7,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Sao Tome and Principe,STP,108.8,82.4,25.4,23.3,21.4,19.7,18.3,17.1,16.2,15.4,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Saudi Arabia,SAU,44.3,22.1,9.6,9.1,8.6,8.1,7.7,7.3,7,6.7,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Senegal,SEN,138.6,129.7,53.8,51,48.4,45.9,43.7,41.8,40.1,38.6,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Serbia,SRB,28.3,12.6,6.6,6.3,6.1,5.9,5.8,5.7,5.6,5.5,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Seychelles,SYC,16.3,13.9,14.5,14.5,14.6,14.6,14.5,14.4,14.2,13.9,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Sierra Leone,SLE,260.5,225.9,140,141,126.1,121.4,116.8,112.5,108.5,104.7,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Singapore,SGP,7.7,3.9,2.7,2.7,2.7,2.6,2.5,2.4,2.2,2.1,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Slovak Republic,SVK,14.7,9.8,6.4,6.2,6.1,6,5.9,5.8,5.7,5.6,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Slovenia,SVN,10.4,5.5,2.7,2.6,2.5,2.4,2.4,2.3,2.2,2.2,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Solomon Islands,SLB,38.2,30.8,23.5,22.8,22.1,21.4,20.7,20,19.4,18.8,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Somalia,SOM,180.4,172.9,138.9,134.5,130.3,126.1,122.5,118.6,114.9,111.8,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,South Africa,ZAF,62.2,71,38.3,37.3,36.6,35.8,35.1,34.3,33.7,32.8,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,South Sudan,SSD,251.2,181.6,98.7,98.7,98.7,98.7,98.7,98.7,98.7,98.7,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Spain,ESP,9.2,5.4,3.4,3.3,3.3,3.2,3.2,3.2,3.1,3,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Sri Lanka,LKA,22.8,16.5,9.3,8.8,8.3,7.9,7.6,7.3,7,6.7,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,St. Kitts and Nevis,KNA,30.4,23.8,17.2,16.9,16.6,16.3,15.9,15.4,15,14.6,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,St. Lucia,LCA,21.9,18.4,21.4,21.9,22.5,23,23.6,24.1,24.5,24.8,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,St. Vincent and the Grenadines,VCT,23.9,22.3,17.4,16.8,16.2,15.7,15.2,14.6,14.2,13.7,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Sudan,SDN,132,104.4,68,66,64.1,62.1,60.3,58.4,56.6,54.9,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Suriname,SUR,45.1,31.3,21,20.5,19.9,19.4,18.8,18.3,17.7,17.2,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Sweden,SWE,7,4.1,2.9,2.9,2.8,2.8,2.7,2.6,2.5,2.5,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Switzerland,CHE,8.2,5.6,4.3,4.3,4.2,4.1,4.1,4,3.9,3.8,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Syrian Arab Republic,SYR,36.7,23,47.3,41.8,39.8,23.9,23.8,22.6,22.8,22.3,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Tajikistan,TJK,102.5,83.7,38.4,37.4,36.5,35.5,34.5,33.5,32.5,31.4,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Tanzania,TZA,166.9,129.9,59.8,58,55.8,53.9,51.9,50.4,49,47.1,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Thailand,THA,37.1,21.9,11.3,10.8,10.3,9.9,9.4,9,8.6,8.3,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Timor-Leste,TLS,175.5,111.3,63.5,61.6,59.7,57.7,55.8,53.9,52.2,50.5,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Togo,TGO,147.5,120,78.5,75.9,73.5,71.2,68.8,66.6,64.6,62.6,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Tonga,TON,22.2,17,12.5,12.4,12.2,12.1,11.9,11.7,11.4,11.1,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Trinidad and Tobago,TTO,30.3,28.1,20.2,19.6,19,18.5,17.9,17.4,16.8,16.3,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Tunisia,TUN,55.4,30,17.3,17.2,17.1,17.1,17,16.9,16.6,16.3,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Turkiye,TUR,74.2,37.9,13.8,13,12.2,11.4,10.7,10.1,9.5,9,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Turkmenistan,TKM,79.4,69.8,42.2,42.4,42.8,43.2,43.2,42.8,42.2,41.4,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Turks and Caicos Islands,TCA,14.2,8.7,5.4,5.3,5.2,5,4.9,4.8,4.6,4.5,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Tuvalu,TUV,52.8,42.2,27.1,26.1,25.3,24.3,23.6,22.7,21.9,21.3,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Uganda,UGA,182.9,146.1,59.1,56,52.7,50.2,47.7,45.6,43.7,42.1,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Ukraine,UKR,19.2,18.2,9.8,9.4,9.2,8.9,8.7,8.5,8.4,8.2,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,United Arab Emirates,ARE,16.5,11.1,7.8,7.6,7.4,7.2,7,6.8,6.6,6.4,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,United Kingdom,GBR,9.3,6.5,4.5,4.5,4.4,4.4,4.4,4.3,4.3,4.2,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,United States,USA,11.2,8.4,6.9,6.8,6.7,6.6,6.5,6.4,6.3,6.2,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Uruguay,URY,22.9,17,9.3,8.9,8.4,7.9,7.3,6.8,6.3,5.8,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Uzbekistan,UZB,70.3,60.5,20.5,19.2,18,17,16.2,15.4,14.7,14.1,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Vanuatu,VUT,36,28.8,27.8,27.3,26.7,26,25.3,24.7,24,23.2,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,"Venezuela, RB",VEN,29.6,21.5,18,19.1,24.2,24.2,24.2,24.2,24.2,24.2,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Viet Nam,VNM,51.7,30,22.1,21.9,21.7,21.5,21.3,21.1,20.9,20.6,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,West Bank and Gaza,PSE,44.9,30.4,21.3,18.4,17.7,17.1,16.5,15.9,15.3,14.8,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,"Yemen, Rep.",YEM,126.4,95.1,58.8,60.8,60.5,60.3,61.7,61.6,59.7,61.9,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Zambia,ZMB,182.3,155.7,69.5,68.2,65.3,64.2,64.2,62.6,59.7,57.7,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Zimbabwe,ZWE,79.6,96.2,62.6,60.5,57.9,56.2,53.7,52.7,51.8,49.5,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Africa Eastern and Southern,AFE,165.8325615,138.1802347,72.49238369,69.86918586,67.36392905,65.09105284,62.85718936,60.85591681,59.08730887,57.2847271,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Africa Western and Central,AFW,197.8631168,169.2071262,111.4320273,109.1853888,106.8910191,104.6270062,102.0141439,99.5519598,96.92830728,94.37223504,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Arab World,ARB,82.04066543,59.99941177,39.67262702,38.76194648,38.18307146,36.90506819,36.40498461,35.72550307,34.8094619,34.45451133,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Caribbean small states,CSS,34.00675856,26.46527244,19.72367815,19.20269726,18.77878531,18.33732902,17.87810331,17.97186982,16.98097096,16.52820374,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Central Europe and the Baltics,CEB,19.31691529,12.29235282,6.052444586,5.809812968,5.548312865,5.317168003,5.055564922,4.873932825,4.759366749,4.622352796,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Early-demographic dividend,EAR,109.8848263,79.362378,42.60984717,40.76748181,39.06105999,37.36777211,35.8620963,34.50645107,33.15011911,31.91532691,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,East Asia & Pacific,EAS,56.6,39.3,17.6,17,16.1,15.4,15.2,14.9,14.8,14.7,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,East Asia & Pacific (excluding high income),EAP,59.1424916,41.76415522,18.50139331,17.88703816,16.84876666,16.04123772,16.0533643,15.63004525,15.67298018,15.53390569,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,East Asia & Pacific (IDA & IBRD countries),TEA,59.30896792,41.50807519,18.45865931,17.8497629,16.81294582,16.00751794,16.0261646,15.60807834,15.6611564,15.53615697,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Euro area,EMU,9.637314335,5.848383102,3.918123131,3.881607103,3.851320951,3.834539862,3.789601076,3.719507724,3.666115678,3.609476116,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Europe & Central Asia,ECS,31,21.3,10,9.5,9.1,8.7,8.4,8.2,7.9,7.6,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Europe & Central Asia (excluding high income),ECA,47.96744045,36.34505322,14.6711919,13.90571377,13.18494942,12.67783316,12.2418863,11.8824832,11.44691658,11.0471034,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Europe & Central Asia (IDA & IBRD countries),TEC,44.84740636,33.69389099,13.93337627,13.21924873,12.51295134,11.97602256,11.55372768,11.21261331,10.81641909,10.44071618,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,European Union,EUU,12.1422927,7.173006499,4.358328056,4.280779883,4.200784369,4.148324367,4.04891191,3.949594491,3.88051217,3.802309923,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Fragile and conflict affected situations,FCS,164.7035915,138.6742469,89.56431324,87.47315177,85.64254633,83.51999877,81.50176111,79.49043171,77.38894866,75.42600002,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Heavily indebted poor countries (HIPC),HPC,181.561746,144.6928195,81.23412017,78.48787482,75.74892602,73.39167823,71.06839255,68.92449804,66.83713898,64.86172563,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,High income,HIC,12.9,8.2,5.6,5.5,5.4,5.3,5.2,5.1,5,4.9,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,IBRD only,IBD,77.78113813,58.57595198,27.78166531,26.66923193,25.29733068,24.01882776,23.48982017,22.57829199,22.01384705,21.35902436,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,IDA & IBRD total,IBT,101.1196498,83.22510611,48.0984731,46.92310419,45.32553397,43.96596631,43.46836206,42.59397979,42.08930958,41.32163138,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,IDA blend,IDB,153.4103662,134.2127001,93.42144296,91.54763583,89.69087467,87.74903585,85.34745193,83.25018045,80.97058869,78.822395,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,IDA only,IDX,164.3364118,127.146792,73.04213903,70.80927728,68.49082004,66.35031337,64.3750277,62.45591099,60.66823282,59.03917317,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,IDA total,IDA,160.7011642,129.5122354,80.07533835,77.92729664,75.74882353,73.65558831,71.51225417,69.49964841,67.53236916,65.69729114,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Late-demographic dividend,LTE,50.51267809,33.59140799,12.89700327,12.21810273,11.58594575,10.90992156,10.6009357,10.18308737,9.913897204,9.640481401,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Latin America & Caribbean,LCN,54.9,33.2,18.8,18.4,18.5,17.8,17.3,16.8,16.4,15.9,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Latin America & Caribbean (excluding high income),LAC,57.59946932,34.49955624,19.1904182,18.60905317,18.4944781,17.67936536,17.2022425,16.72137658,16.25204919,15.76200215,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Latin America & the Caribbean (IDA & IBRD countries),TLA,55.59221362,33.51352045,18.99382228,18.5161143,18.68886649,17.93266252,17.47010209,16.9778999,16.50526913,16.02240685,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Least developed countries: UN classification,LDC,175.5057498,135.4989559,76.05599125,73.64353845,71.10954889,68.9640846,66.86510038,64.87208567,62.9805684,61.26114515,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Low & middle income,LMY,101.9282823,83.91281121,48.41404075,47.21719689,45.58476649,44.21590675,43.70877587,42.81680031,42.30471158,41.52764013,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Low income,LIC,185.4,146,83.4,80.8,78.2,75.7,73.6,71.4,69.2,67.4,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Lower middle income,LMC,119.9,92.8,54.7,52.8,51.1,49.5,47.9,46.5,45.1,43.7,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Middle East & North Africa,MEA,66.2,43.6,26.1,25.2,24.5,23.3,23.1,22.7,22.1,22,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Middle East & North Africa (excluding high income),MNA,69.53356514,46.8391131,28.01722587,27.13319623,26.45299351,25.27913807,25.04458941,24.73334992,24.11609413,23.90831726,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Middle East & North Africa (IDA & IBRD countries),TMN,69.8496367,47.12594351,28.12007629,27.27120452,26.5945169,25.41119179,25.18385209,24.88070214,24.26401368,24.06256057,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Middle income,MIC,92.45742517,74.27307738,41.68954089,40.59144442,39.09027738,37.81984909,37.36609863,36.51680338,36.0563558,35.308851,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,North America,NAC,10.9,8.3,6.8,6.7,6.6,6.5,6.4,6.3,6.2,6.1,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,OECD members,OED,21.83531375,13.59885144,7.984648551,7.744702919,7.509047005,7.331863988,7.123453761,6.915801411,6.737671587,6.499385186,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Other small states,OSS,95.87271433,89.8931535,55.67583074,53.8334007,51.70707235,49.89807627,48.48199505,47.12052124,45.65748155,44.44952379,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Pacific island small states,PSS,36.46469776,28.81614964,25.80925444,25.48662336,25.18837434,24.88147144,24.5904703,24.25303129,23.9136502,23.44266052,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Post-demographic dividend,PST,10.78251598,7.28433589,5.231113243,5.153996063,5.059962866,4.991760935,4.909000063,4.83153315,4.743897902,4.665435297,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Pre-demographic dividend,PRE,184.4967616,153.5420463,92.58905175,90.18592068,87.81678043,85.56708807,83.19897809,80.9553712,78.70145253,76.46520699,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Small states,SST,79.5651513,74.89771029,48.92974824,47.39143306,45.71975061,44.27605147,43.12149777,42.01132996,40.74585615,39.65501445,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,South Asia,SAS,130.2,93.4,51.7,49.2,46.8,44.6,42.5,40.6,38.8,37.1,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,South Asia (IDA & IBRD),TSA,130.1923048,93.40296642,51.73130023,49.2584571,46.78792907,44.69003543,42.5054818,40.58936974,38.84649353,37.05196014,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Sub-Saharan Africa,SSF,178.9,151.1,89.2,86.7,84.3,82,79.6,77.3,75.1,73,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Sub-Saharan Africa (excluding high income),SSA,178.7483755,151.1252793,89.11082284,86.63976737,84.21565078,81.90456073,79.4745562,77.24166265,75.11592288,72.99710506,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Sub-Saharan Africa (IDA & IBRD countries),TSS,178.7370967,151.1181034,89.10748632,86.63650705,84.21243714,81.90147097,79.47167178,77.23896901,75.11340259,72.994734,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Upper middle income,UMC,52.2,35.3,14.8,14.2,13.5,12.8,12.6,12.2,12,11.8,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,World,WLD,93,76.3,44.4,43.2,41.9,40.6,40,39.3,38.7,38.1,..,..
